dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,unit_label,unit_iri,term_iri,term_type,required,property_iri,entity_iri,constraint_iri,method_iri
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_1,Mainstem Age 1,Number of fish caught in mainstem at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_2,Mainstem Age 2,Number of fish caught in mainstem at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_3,Mainstem Age 3,Number of fish caught in mainstem at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_4,Mainstem Age 4,Number of fish caught in mainstem at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_5,Mainstem Age 5,Number of fish caught in mainstem at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_6,Mainstem Age 6,Number of fish caught in mainstem at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_AGE_7,Mainstem Age 7,Number of fish caught in mainstem at age 7,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_MORTALITY_RATE,Mainstem Mortality Rate,Proportion of fish that die while migrating through the mainstem,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,, spsr-data-dictionary,smu_timeseries,OCEAN_CATCH,Ocean Catch,Total catch from the ocean area over all ages,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_1,Ocean Age 1,Number of fish caught in ocean at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_2,Ocean Age 2,Number of fish caught in ocean at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_3,Ocean Age 3,Number of fish caught in ocean at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_4,Ocean Age 4,Number of fish caught in ocean at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_5,Ocean Age 5,Number of fish caught in ocean at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_6,Ocean Age 6,Number of fish caught in ocean at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_AGE_7,Ocean Age 7,Number of fish caught in ocean at age 7,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,OCEAN_MORTALITY_RATE,Ocean Mortality Rate,Proportion of fish that die while at sea,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,,
spsr-data-dictionary,smu_timeseries,OCEAN_EXPLOITATION_RATE,Ocean Exploitation Rate,Total exploitation rate in the ocean area,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#ExploitationRate,owl_class,FALSE,,,,
spsr-data-dictionary,smu_timeseries,TERMINAL_CATCH,Terminal Catch,Total catch in terminal area,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_1,Terminal Age 1,Number of fish caught in terminal at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_2,Terminal Age 2,Number of fish caught in terminal at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_3,Terminal Age 3,Number of fish caught in terminal at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_4,Terminal Age 4,Number of fish caught in terminal at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_5,Terminal Age 5,Number of fish caught in terminal at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_6,Terminal Age 6,Number of fish caught in terminal at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_AGE_7,Terminal Age 7,Number of fish caught in terminal at age 7,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TERMINAL_MORTALITY_RATE,Terminal Mortality Rate,Proportion of fish that die in terminal area before spawning,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_1,Spawners Age 1,Number of age 1 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_2,Spawners Age 2,Number of age 2 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_3,Spawners Age 3,Number of age 3 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_4,Spawners Age 4,Number of age 4 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_5,Spawners Age 5,Number of age 5 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_6,Spawners Age 6,Number of age 6 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,SPAWNERS_AGE_7,Spawners Age 7,Number of age 7 spawners,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TOTAL_SPAWNERS,Total Spawners,Total number of spawners for the year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_1,Total Age 1 Catch,Total number of age 1 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_2,Total Age 2 Catch,Total number of age 2 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_3,Total Age 3 Catch,Total number of age 3 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_4,Total Age 4 Catch,Total number of age 4 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_5,Total Age 5 Catch,Total number of age 5 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_6,Total Age 6 Catch,Total number of age 6 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,CATCH_AGE_7,Total Age 7 Catch,Total number of age 7 catch per year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TOTAL_CATCH,Total Catch,Total harvest including commercial recreational and First Nations fisheries,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RECRUITS,Recruits,Number of new fish added to a population,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TOTAL_MORTALITY_RATE,Total Mortality Rate,Measure of deaths in stock due to fishing and natural causes,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,,
spsr-data-dictionary,smu_timeseries,TOTAL_RUN,Total Run Size,Number of salmon returning to a given system in a given year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TOTAL_OCEAN_RUN,Total Ocean Run,Number of salmon returning to the ocean area in a given year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,TOTAL_TERMINAL_RUN,Total Terminal Run,Number of salmon returning to the terminal area in a given year,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_1,Run Age 1,Number of salmon returning at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_2,Run Age 2,Number of salmon returning at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_3,Run Age 3,Number of salmon returning at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_4,Run Age 4,Number of salmon returning at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_5,Run Age 5,Number of salmon returning at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_6,Run Age 6,Number of salmon returning at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,RUN_AGE_7,Run Age 7,Number of salmon returning at age 7,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
spsr-data-dictionary,smu_timeseries,IN_RIVER_MORTALITY_RATE,In-River Mortality Rate,Proportion of population that dies in river,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,,
spsr-data-dictionary,smu_timeseries,TOTAL_EXPLOITATION_RATE,Total Exploitation Rate,Proportion of fish population harvested by all fisheries,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#TotalExploitationRate,owl_class,FALSE,,,,
spsr-data-dictionary,cu_metadata,CU_ID,CU ID,Alphanumeric ID for Conservation Unit,identifier,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,owl_class,TRUE,,,,
spsr-data-dictionary,cu_metadata,START_YEAR,Start Year,The start year the time series index became active,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,FALSE,,,,
spsr-data-dictionary,cu_metadata,END_YEAR,End Year,The year the unit ends being active,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,FALSE,,,,
spsr-data-dictionary,cu_metadata,METHOD_COLLECTION,Data Collection Methods,Notes on data collection methods that apply to the entire timeseries,attribute,string,,,http://rs.tdwg.org/dwc/terms/samplingProtocol,owl_object_property,FALSE,,,,
spsr-data-dictionary,cu_metadata,METHOD_ANALYSIS,Data Analysis Methods,Notes on data analysis methods that apply to the entire timeseries,attribute,string,,,,,,FALSE,,,,
spsr-data-dictionary,cu_metadata,YEAR_TYPE,Year Method,The type of year definition used in the timeseries,categorical,string,,,https://w3id.org/gcdfo/salmon#YearBasis,owl_class,FALSE,,,,
spsr-data-dictionary,cu_metadata,AGE_TYPE,Age Method,The type of age definition used in the timeseries,categorical,string,,,,,,FALSE,,,,
spsr-data-dictionary,cu_metadata,INFORMATION_QUALITY,Information Quality,Data quality score 1-5 based on Ogden 2015 framework,categorical,integer,,,,,,FALSE,,,,
spsr-data-dictionary,cu_metadata,INDEX_QUALITY,Index Quality,Information quality ranking from New Zealand Standard,categorical,string,,,,,,FALSE,,,,
spsr-data-dictionary,cu_metadata,REFERENCE,Reference,Link or citation for the report that data was published or archived in,attribute,string,,,http://purl.org/dc/terms/bibliographicCitation,owl_annotation_property,FALSE,,,,
spsr-data-dictionary,cu_metadata,CONTACT,Contact,Name and email contact for dataset steward or expert,attribute,string,,,,,,FALSE,,,,
spsr-data-dictionary,cu_metadata,COMMENTS,Comments,Additional comments about the time series,attribute,string,,,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,owl_object_property,FALSE,,,,
spsr-data-dictionary,cu_year,CU_ID,CU ID,Alphanumeric ID for Conservation Unit,identifier,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,owl_class,TRUE,,,,
spsr-data-dictionary,cu_year,YEAR,Year,The year measurements were captured,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,TRUE,,,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_1,Mainstem Age 1,Number of fish caught in mainstem at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_2,Mainstem Age 2,Number of fish caught in mainstem at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_3,Mainstem Age 3,Number of fish caught in mainstem at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_4,Mainstem Age 4,Number of fish caught in mainstem at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_5,Mainstem Age 5,Number of fish caught in mainstem at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_6,Mainstem Age 6,Number of fish caught in mainstem at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_AGE_7,Mainstem Age 7,Number of fish caught in mainstem at age 7,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,MAINSTEM_MORTALITY_RATE,Mainstem Mortality Rate,Proportion of fish that die while migrating through the mainstem,measurement,number,ratio,http://qudt.org/vocab/unit/UNITLESS,,skos_concept,FALSE,,,,
spsr-data-dictionary,cu_year,OCEAN_AGE_1,Ocean Age 1,Number of fish caught in ocean at age 1,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,OCEAN_AGE_2,Ocean Age 2,Number of fish caught in ocean at age 2,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,OCEAN_AGE_3,Ocean Age 3,Number of fish caught in ocean at age 3,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,OCEAN_AGE_4,Ocean Age 4,Number of fish caught in ocean at age 4,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,OCEAN_AGE_5,Ocean Age 5,Number of fish caught in ocean at age 5,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
spsr-data-dictionary,cu_year,OCEAN_AGE_6,Ocean Age 6,Number of fish caught in ocean at age 6,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,http://rs.tdwg.org/dwc/terms/individualCount,owl_object_property,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#ConservationUnit,,
